SUDC,UCOS_lag1,FPUR,MDB_UD_lag1,MDB_UC_past5,BOX_UD_lag1,BOX_UC_past5,DBX_UD_lag1,DBX_UC_past5,ORCL_UD_lag1,ORCL_UC_past5,AMZN_UD_lag1,AMZN_UC_past5,MSFT_UD_lag1,MSFT_UC_past5,IBM_UD_lag1,IBM_UC_past5,VMW_UD_lag1,VMW_UC_past5,GOOG_UD_lag1,GOOG_UC_past5,BABA_UD_lag1,BABA_UC_past5,usdt_UD_lag1,usdt_UC_past5,eth_UD_lag1,eth_UC_past5,bitcoin_UD_lag1,bitcoin_UC_past5,ltc_UD_lag1,ltc_UC_past5,doge_UD_lag1,doge_UC_past5,UROS_past5
9.0,11.0,0.49079754601226994,0.0,0.0,1.0,3.0,0.0,2.0,1.0,4.0,1.0,3.0,0.0,2.0,0.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.4666666666666667
11.0,11.0,0.49390243902439024,0.0,0.0,1.0,3.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,0.5066666666666667
4.0,8.0,0.4909090909090909,0.0,0.0,1.0,4.0,0.0,1.0,1.0,5.0,1.0,4.0,0.0,1.0,0.0,2.0,1.0,5.0,1.0,3.0,1.0,4.0,1.0,5.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,2.0,0.5866666666666667
8.0,6.0,0.4939759036144578,1.0,1.0,0.0,3.0,1.0,2.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,4.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,0.6
6.0,10.0,0.49700598802395207,1.0,2.0,0.0,3.0,1.0,2.0,0.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,4.0,0.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,0.0,3.0,0.6133333333333333
10.0,12.0,0.5,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,4.0,1.0,4.0,0.0,2.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,0.0,2.0,0.6266666666666667
3.0,13.0,0.4970414201183432,0.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,0.0,3.0,1.0,5.0,1.0,2.0,0.6533333333333333
2.0,12.0,0.49411764705882355,0.0,3.0,1.0,3.0,1.0,5.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,0.0,3.0,1.0,5.0,1.0,4.0,1.0,5.0,0.0,2.0,0.7066666666666667
12.0,1.0,0.49707602339181284,0.0,2.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,2.0,1.0,4.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,1.0,0.64
1.0,13.0,0.5,0.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,3.0,0.0,3.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,2.0,0.68
2.0,7.0,0.49710982658959535,1.0,1.0,0.0,3.0,0.0,3.0,1.0,4.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,4.0,0.0,2.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,0.6133333333333333
8.0,10.0,0.4942528735632184,0.0,1.0,1.0,3.0,0.0,2.0,0.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,3.0,1.0,2.0,1.0,4.0,0.0,3.0,1.0,4.0,1.0,3.0,0.5733333333333334
5.0,8.0,0.49142857142857144,1.0,2.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,3.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,3.0,0.52
7.0,12.0,0.48863636363636365,1.0,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,4.0,0.0,3.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,0.6666666666666666
12.0,7.0,0.4915254237288136,1.0,4.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,3.0,1.0,3.0,0.0,3.0,1.0,3.0,0.0,2.0,0.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,0.5866666666666667
7.0,10.0,0.4943820224719101,1.0,4.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,5.0,1.0,5.0,0.0,3.0,1.0,4.0,0.0,3.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.6266666666666667
10.0,11.0,0.4972067039106145,1.0,5.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,0.0,2.0,1.0,4.0,0.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,0.64
4.0,6.0,0.49444444444444446,1.0,5.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,3.0,0.6133333333333333
9.0,10.0,0.49171270718232046,0.0,4.0,1.0,1.0,1.0,2.0,1.0,5.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,0.5866666666666667
10.0,10.0,0.4945054945054945,1.0,4.0,0.0,1.0,1.0,3.0,1.0,5.0,1.0,4.0,1.0,4.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,0.0,3.0,1.0,4.0,1.0,4.0,0.6266666666666667
10.0,12.0,0.4972677595628415,0.0,3.0,0.0,1.0,1.0,4.0,1.0,5.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,0.6533333333333333
12.0,4.0,0.5,0.0,2.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,2.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,4.0,1.0,4.0,0.56
11.0,3.0,0.4972972972972973,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,5.0,1.0,4.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,4.0,0.52
12.0,3.0,0.4946236559139785,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,4.0,0.4266666666666667
12.0,4.0,0.4919786096256685,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,4.0,0.3466666666666667
11.0,10.0,0.48936170212765956,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.32
5.0,3.0,0.48677248677248675,1.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.30666666666666664
12.0,11.0,0.4842105263157895,0.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.41333333333333333
4.0,8.0,0.4816753926701571,1.0,3.0,1.0,4.0,1.0,4.0,0.0,2.0,1.0,3.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.48
7.0,8.0,0.4791666666666667,1.0,4.0,1.0,4.0,1.0,5.0,0.0,1.0,1.0,4.0,1.0,4.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5333333333333333
8.0,9.0,0.48186528497409326,1.0,4.0,1.0,4.0,1.0,5.0,0.0,1.0,1.0,4.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.52
